800,DARWIN,NT,-12:28:24,-130:50:38
810,WANGURI,NT,-12:24:32,-130:51:16
812,WULAGI,NT,-12:24:6,-130:53:4
820,WOOLNER,NT,-12:25:44,-130:52:13
822,WADEYE,NT,-12:26:46,-130:45:54
828,BERRIMAH,NT,-12:27:36,-130:57:43
830,YARRAWONGA,NT,-12:26:47,-130:57:21
832,ROSEBERY,NT,,
835,HOWARD SPRINGS,NT,-12:29:50,-131:2:34
836,HUMPTY DOO,NT,-12:34:37,-131:4:23
837,NOONAMAH,NT,-12:44:1,-131:4:60
840,DUNDEE BEACH,NT,,
845,BATCHELOR,NT,-13:6:58,-131:0:25
846,ADELAIDE RIVER,NT,-13:14:55,-131:6:28
847,PINE CREEK,NT,-14:8:32,-132:6:39
850,KATHERINE,NT,-14:31:25,-132:9:34
852,VICTORIA RIVER DOWNS,NT,-14:59:15,-131:30:59
853,TINDAL RAAF,NT,-14:31:00,-132:25:00
854,BORROLOOLA,NT,-16:12:26,-136:33:45
860,TENNANT CREEK,NT,-19:38:11,-134:10:53
862,WARREGO,NT,-16:13:24,-136:57:58
870,ALICE SPRINGS,NT,-23:42:52,-133:52:14
872,YULARA,NT,-23:51:37,-133:47:53
880,YIRRKALA,NT,-12:11:41,-136:45:49
885,ALYANGULA,NT,-13:51:32,-136:25:34
886,JABIRU,NT,-12:41:35,-132:28:12
1363,MOORE PARK,NSW,,
1639,FRENCHS FOREST,NSW,,
2000,THE ROCKS,NSW,-33:52:30,-151:12:5
2006,THE UNIVERSITY OF SYDNEY,NSW,-33:53:30,-151:11:06
2007,ULTIMO,NSW,-33:52:45,-151:11:49
2008,DARLINGTON,NSW,-33:53:10,-151:11:41
2009,PYRMONT,NSW,-33:52:6,-151:11:37
2010,SURRY HILLS,NSW,-33:52:44,-151:12:40
2011,WOOLLOOMOOLOO,NSW,-33:52:09,-151:13:30
2015,EVELEIGH,NSW,-33:53:51,-151:11:21
2016,REDFERN,NSW,-33:53:40,-151:11:58
2017,ZETLAND,NSW,-33:54:35,-151:12:10
2018,ROSEBERY,NSW,-33:54:56,-151:12:14
2019,BOTANY,NSW,-33:56:7,-151:12:36
2020,SYDNEY INTERNATIONAL AIRPORT,NSW,-33:56:50,-151:9:57
2021,PADDINGTON,NSW,-33:53:24,-151:13:18
2022,QUEENS PARK,NSW,-33:53:45,-151:15:15
2023,BELLEVUE HILL,NSW,-33:53:15,-151:15:25
2024,WAVERLEY,NSW,-33:53:52,-151:15:13
2025,WOOLLAHRA,NSW,-33:53:32,-151:14:43
2026,TAMARAMA,NSW,-33:53:34,-151:16:34
2027,POINT PIPER,NSW,-33:52:49,-151:14:3
2028,DOUBLE BAY,NSW,-33:52:41,-151:14:32
2029,ROSE BAY,NSW,-33:52:31,-151:16:23
2030,WATSONS BAY,NSW,-33:50:34,-151:16:60
