Wal-Mart Stores,General Merchandisers,482.13,"Bentonville, AR",1,,36.3655837,-94.2181498,14.694,1
Exxon Mobil,Petroleum Refining,246.204,"Irving, TX",2,,32.8900057,-96.9499086,16.15,2
Apple,"Computers, Office Equipment",233.715,"Cupertino, CA",3,,37.3316936,-122.0302191,53.394,3
Berkshire Hathaway,Insurance: Property and Casualty (Stock),210.821,"Omaha, NE",4,,41.2572028,-95.9654637,24.083,4
McKesson,Wholesalers: Health Care,181.241,"San Francisco, CA",5,,37.7887748,-122.4026656,1.476,5
UnitedHealth Group,Health Care: Insurance and Managed Care,157.107,"Minnetonka, MN",6,,44.8973941,-93.4031873,5.813,6
CVS Health,Food and Drug Stores,153.29,"Woonsocket, RI",7,,41.990756,-71.477265,5.237,7
General Motors,Motor Vehicles and Parts,152.356,"Detroit, MI",8,,42.3288312,-83.0389583,9.687,8
Ford Motor,Motor Vehicles and Parts,149.558,"Dearborn, MI",9,,42.3174368,-83.2094894,7.373,9
AT&T,Telecommunications,146.801,"Dallas, TX",10,,32.7795514,-96.7987645,13.345,10
General Electric,Industrial Machinery,140.389,"Fairfield, CT",11,,41.2166958,-73.2535135,-6.126,11
AmerisourceBergen,Wholesalers: Health Care,135.9618,"Chesterbrook, PA",12,,40.0686079,-75.4683046,-0.1349,12
Verizon Communications,Telecommunications,131.62,"New York, NY",13,,40.7546714,-73.9848031,17.879,13
Chevron,Petroleum Refining,131.118,"San Ramon, CA",14,,37.7582505,-121.9580965,4.587,14
Costco Wholesale,Specialty Retailers: Other,116.199,"Issaquah, WA",15,,47.548675,-122.050648,2.377,15
Fannie Mae,Diversified Financials,110.359,"Washington, DC",16,,38.9404825,-77.0765632,10.954,16
Kroger,Food and Drug Stores,109.83,"Cincinnati, OH",17,,39.1067628,-84.5139541,2.039,17
Amazon.com,Internet Services and Retailing,107.006,"Seattle, WA",18,,47.6222881,-122.3364939,0.596,18
Walgreens Boots Alliance,Food and Drug Stores,103.444,"Deerfield, IL",19,,42.1553798,-87.86951,4.22,19
HP,"Computers, Office Equipment",103.355,"Palo Alto, CA",20,,37.4120372,-122.1484378,4.554,20
Cardinal Health,Wholesalers: Health Care,102.531,"Dublin, OH",21,,40.1091848,-83.1207465,1.215,21
Express Scripts Holding,Health Care: Pharmacy and Other Services,101.7518,"St. Louis, MO",22,,38.7187906,-90.3104578,2.4764,22
JPMorgan Chase & Co.,Commercial Banks,101.006,"New York, NY",23,,40.7558818,-73.9755845,24.442,23
Boeing,Aerospace and Defense,96.114,"Chicago, IL",24,,41.8838173,-87.6386593,5.176,24
Microsoft,Computer Software,93.58,"Redmond, WA",25,,47.6393096,-122.1283559,12.193,25
Bank of America Corp.,Commercial Banks,93.056,"Charlotte, NC",26,,35.2273462,-80.8422372,15.888,26
Wells Fargo,Commercial Banks,90.033,"San Francisco, CA",27,,37.7933766,-122.4026201,22.894,27
Home Depot,Specialty Retailers: Other,88.519,"Atlanta, GA",28,,33.8484044,-84.4323272,7.009,28
Citigroup,Commercial Banks,88.275,"New York, NY",29,,40.7206559,-74.0112178,17.242,29
Phillips 66,Petroleum Refining,87.169,"Houston, TX",30,,29.7323813,-95.5500002,4.227,30
International Business Machines,Information Technology Services,82.461,"Armonk, NY",31,,41.1083018,-73.7204677,13.19,31
Valero Energy,Petroleum Refining,81.824,"San Antonio, TX",32,,29.5842806,-98.6062431,3.99,32
